timestamp,suite,run_name,checkpoint,seed,task_id,task_name,episode_idx,success,total_reward,steps,max_steps,video_path
2026-06-03T12:48:43.426504+00:00,libero_10,act_chunked_corrected_h20_task5_consistency40,checkpoints/libero_long_corrected_task5/act_chunked_corrected_h20_task5_consistency40/best.pt,42,5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0,1,1.0,148,300,results/rollout_videos_act_chunked_h20_task5_consistency40/act_chunked_corrected_h20_task5_consistency40/seed42_task05_episode0_STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.mp4
2026-06-03T12:48:57.640710+00:00,libero_10,act_chunked_corrected_h20_task5_consistency40,checkpoints/libero_long_corrected_task5/act_chunked_corrected_h20_task5_consistency40/best.pt,42,5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,1,0,0.0,300,300,results/rollout_videos_act_chunked_h20_task5_consistency40/act_chunked_corrected_h20_task5_consistency40/seed42_task05_episode1_STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.mp4
2026-06-03T12:49:15.844811+00:00,libero_10,act_chunked_corrected_h20_task5_consistency40,checkpoints/libero_long_corrected_task5/act_chunked_corrected_h20_task5_consistency40/best.pt,42,5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,2,0,0.0,300,300,results/rollout_videos_act_chunked_h20_task5_consistency40/act_chunked_corrected_h20_task5_consistency40/seed42_task05_episode2_STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.mp4
