success,final_step,success_step,first_close,last_close,close_frac,mean_raw_grip,max_raw_grip,min_raw_grip,first_phase2,first_phase3,first_secured,first_place_ready,mean_eef_delta,max_eef_delta,mean_action_delta,max_action_delta,final_pre_z,final_action_norm,split,model,episode_idx
0,299,,61,299,0.7966666666666666,6.655395294825236,12.776426315307615,-13.111711502075195,160.0,,,,0.0051400869848050946,0.0144611485302448,0.4735593355819583,1.1255325078964231,1.663782238960266,0.37087976678047463,train,phase,8
1,181,181.0,61,181,0.6648351648351648,5.077370305637737,15.008304595947266,-11.734282493591309,160.0,,,,0.006242117485681316,0.0144006786867976,0.5039902805545173,1.1132817268371582,1.1462794542312622,0.4788691941230333,train,event,8
0,299,,57,299,0.81,6.83356940984726,12.47933864593506,-13.556780815124512,160.0,,,,0.004913001280801787,0.015001262538135,0.4771092473218838,1.1681849956512451,1.1619058847427368,0.5047595186799801,train,phase,10
1,163,163.0,50,163,0.6951219512195121,6.161613475985643,14.644211769104004,-12.44590187072754,160.0,,,,0.006121899883465777,0.0137293320149183,0.5035835669444102,1.0617868900299072,1.1417995691299438,0.7344715129326249,train,event,10
0,299,,72,299,0.76,5.830738749504089,13.225237846374512,-12.064634323120115,160.0,,,,0.004917682348168404,0.0152956135571002,0.4573479303220908,1.2036986351013184,1.16946542263031,0.37090234538620354,train,phase,11
1,183,183.0,69,183,0.625,4.601243490353227,14.826144218444824,-11.919713973999023,160.0,,,,0.006083424568002866,0.0139487329870462,0.52770059928298,1.0967594385147097,1.1335951089859009,0.5324060495962054,train,event,11
0,299,,61,299,0.7966666666666666,6.031822737058004,12.968757629394531,-13.631837844848633,160.0,,,,0.004492350978931984,0.0147078745067119,0.4458157330999772,1.153986573219299,1.229886770248413,0.1448460815421361,train,phase,18
1,176,176.0,59,176,0.6666666666666666,5.051348463963654,14.333123207092283,-12.205955505371094,160.0,,,,0.006276947364939781,0.0144228404387831,0.5021005339373303,1.1199686527252195,1.1417938470840454,0.5360704387843657,train,event,18
0,299,,67,299,0.7766666666666666,6.801657943725586,13.381011962890623,-12.836042404174805,160.0,,,,0.006947617459615332,0.0437609292566776,0.5097006310274204,1.1729446649551392,1.4364184141159058,0.25229203434567754,train,phase,20
1,193,193.0,66,193,0.6597938144329897,4.570110735819512,14.347064018249512,-12.594693183898926,160.0,,,,0.005981667899495399,0.0150044243782758,0.5428439431353328,1.1661036014556885,1.1170670986175537,0.7317701212361405,train,event,20
0,299,,62,299,0.7933333333333333,5.730410652160645,12.458163261413574,-13.81617546081543,160.0,,,,0.00783738119120239,0.0517416149377822,0.5615728330860535,1.1426116228103638,1.1200222969055176,0.4161081853793672,test,phase,6
1,185,185.0,64,185,0.6559139784946236,4.618683668874925,15.13363265991211,-12.109496116638184,160.0,,,,0.0065065262919311384,0.0154086798429489,0.5585078895893149,1.1880896091461182,1.1006700992584229,0.6400489038632441,test,event,6
0,299,,65,299,0.7833333333333333,6.296849112510682,12.869842529296877,-13.94340705871582,160.0,,,,0.005110864401164338,0.0145367998629808,0.48089991812904676,1.1351168155670166,1.178130269050598,0.31183856774213486,val,phase,34
1,184,184.0,56,184,0.6972972972972973,5.309139095770346,14.499174118041992,-12.180978775024414,160.0,,,,0.005836961293479734,0.0141600985080003,0.49511395257872504,1.0968716144561768,1.113672971725464,0.5971107090532399,val,event,34
1,176,176.0,71,176,0.5988700564971752,3.1282318426390825,13.229242324829102,-13.74905014038086,160.0,,,,0.0062495581578794306,0.0131662236526608,0.5109071361563974,1.020177960395813,1.1554819345474243,0.5771865607199312,val,phase,36
0,299,,87,299,0.71,6.741907306909561,15.72536277770996,-12.608370780944824,160.0,,,,0.003611437835109678,0.0138455368578433,0.4443915158261855,1.07127583026886,1.12293803691864,0.4132590751939822,val,event,36
