timestamp,suite,run_name,checkpoint,seed,task_id,task_name,episode_idx,success,total_reward,steps,max_steps,video_path
2026-06-01T13:24:48.834460+00:00,libero_10,sliding_window_corrected_h1_transition20,checkpoints/libero_long_corrected_transition20/sliding_window_corrected_h1_transition20/best.pt,42,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,0,0,0.0,300,300,results/rollout_videos_sliding_window_corrected_h1_transition20_train_task2/sliding_window_corrected_h1_transition20/seed42_task02_episode0_KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.mp4
2026-06-01T13:24:55.523700+00:00,libero_10,sliding_window_corrected_h1_transition20,checkpoints/libero_long_corrected_transition20/sliding_window_corrected_h1_transition20/best.pt,42,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,0.0,300,300,results/rollout_videos_sliding_window_corrected_h1_transition20_train_task2/sliding_window_corrected_h1_transition20/seed42_task02_episode1_KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.mp4
2026-06-01T13:25:02.651099+00:00,libero_10,sliding_window_corrected_h1_transition20,checkpoints/libero_long_corrected_transition20/sliding_window_corrected_h1_transition20/best.pt,42,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,0.0,300,300,results/rollout_videos_sliding_window_corrected_h1_transition20_train_task2/sliding_window_corrected_h1_transition20/seed42_task02_episode4_KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.mp4
